date,country,province,cumulative_confirmed,daily_confirmed,cumulative_deaths,daily_deaths,cumulative_recovered,daily_recovered
2022-02-22,China,Guangxi,1030,2.0,2,0.0,,
2022-02-23,China,Guangxi,1038,8.0,2,0.0,,
2022-02-24,China,Guangxi,1046,8.0,2,0.0,,
2022-02-25,China,Guangxi,1062,16.0,2,0.0,,
2022-02-26,China,Guangxi,1079,17.0,2,0.0,,
2022-02-27,China,Guangxi,1101,22.0,2,0.0,,
2022-02-28,China,Guangxi,1115,14.0,2,0.0,,
2022-03-01,China,Guangxi,1120,5.0,2,0.0,,
2022-03-02,China,Guangxi,1130,10.0,2,0.0,,
2022-03-03,China,Guangxi,1159,29.0,2,0.0,,
2022-03-04,China,Guangxi,1174,15.0,2,0.0,,
2022-03-05,China,Guangxi,1196,22.0,2,0.0,,
2022-03-06,China,Guangxi,1201,5.0,2,0.0,,
2022-03-07,China,Guangxi,1219,18.0,2,0.0,,
2022-03-08,China,Guangxi,1225,6.0,2,0.0,,
2022-03-09,China,Guangxi,1237,12.0,2,0.0,,
2022-03-10,China,Guangxi,1246,9.0,2,0.0,,
2022-03-11,China,Guangxi,1256,10.0,2,0.0,,
2022-03-12,China,Guangxi,1260,4.0,2,0.0,,
2022-03-13,China,Guangxi,1271,11.0,2,0.0,,
2022-03-14,China,Guangxi,1292,21.0,2,0.0,,
2022-03-15,China,Guangxi,1321,29.0,2,0.0,,
2022-03-16,China,Guangxi,1333,12.0,2,0.0,,
2022-03-17,China,Guangxi,1347,14.0,2,0.0,,
2022-03-18,China,Guangxi,1351,4.0,2,0.0,,
2022-03-19,China,Guangxi,1359,8.0,2,0.0,,
2022-03-20,China,Guangxi,1374,15.0,2,0.0,,
2022-03-21,China,Guangxi,1383,9.0,2,0.0,,
2022-03-22,China,Guangxi,1395,12.0,2,0.0,,
2022-03-23,China,Guangxi,1395,0.0,2,0.0,,
2022-03-24,China,Guangxi,1418,23.0,2,0.0,,
2022-03-25,China,Guangxi,1425,7.0,2,0.0,,
2022-03-26,China,Guangxi,1432,7.0,2,0.0,,
2022-03-27,China,Guangxi,1447,15.0,2,0.0,,
2022-03-28,China,Guangxi,1462,15.0,2,0.0,,
2022-03-29,China,Guangxi,1471,9.0,2,0.0,,
2022-03-30,China,Guangxi,1479,8.0,2,0.0,,
2022-03-31,China,Guangxi,1479,0.0,2,0.0,,
2022-04-01,China,Guangxi,1483,4.0,2,0.0,,
2022-04-02,China,Guangxi,1486,3.0,2,0.0,,
2022-04-03,China,Guangxi,1487,1.0,2,0.0,,
2022-04-04,China,Guangxi,1494,7.0,2,0.0,,
2022-04-05,China,Guangxi,1498,4.0,2,0.0,,
2022-04-06,China,Guangxi,1498,0.0,2,0.0,,
2022-04-07,China,Guangxi,1510,12.0,2,0.0,,
2022-04-08,China,Guangxi,1513,3.0,2,0.0,,
2022-04-09,China,Guangxi,1518,5.0,2,0.0,,
2022-04-10,China,Guangxi,1522,4.0,2,0.0,,
2022-04-11,China,Guangxi,1527,5.0,2,0.0,,
2022-04-12,China,Guangxi,1532,5.0,2,0.0,,
2022-04-13,China,Guangxi,1538,6.0,2,0.0,,
2022-04-14,China,Guangxi,1541,3.0,2,0.0,,
2022-04-15,China,Guangxi,1543,2.0,2,0.0,,
2022-04-16,China,Guangxi,1555,12.0,2,0.0,,
2022-04-17,China,Guangxi,1556,1.0,2,0.0,,
2022-04-18,China,Guangxi,1561,5.0,2,0.0,,
2022-04-19,China,Guangxi,1561,0.0,2,0.0,,
2022-04-20,China,Guangxi,1566,5.0,2,0.0,,
2022-04-21,China,Guangxi,1568,2.0,2,0.0,,
2022-04-22,China,Guangxi,1568,0.0,2,0.0,,
2022-04-23,China,Guangxi,1572,4.0,2,0.0,,
2022-04-24,China,Guangxi,1573,1.0,2,0.0,,
2022-04-25,China,Guangxi,1577,4.0,2,0.0,,
2022-04-26,China,Guangxi,1579,2.0,2,0.0,,
2022-04-27,China,Guangxi,1579,0.0,2,0.0,,
2022-04-28,China,Guangxi,1581,2.0,2,0.0,,
2022-04-29,China,Guangxi,1583,2.0,2,0.0,,
2022-04-30,China,Guangxi,1584,1.0,2,0.0,,
2022-05-01,China,Guangxi,1587,3.0,2,0.0,,
2022-05-02,China,Guangxi,1590,3.0,2,0.0,,
2022-05-03,China,Guangxi,1590,0.0,2,0.0,,
2022-05-04,China,Guangxi,1592,2.0,2,0.0,,
2022-05-05,China,Guangxi,1592,0.0,2,0.0,,
2022-05-06,China,Guangxi,1592,0.0,2,0.0,,
2022-05-07,China,Guangxi,1593,1.0,2,0.0,,
2022-05-08,China,Guangxi,1594,1.0,2,0.0,,
2022-05-09,China,Guangxi,1597,3.0,2,0.0,,
2022-05-10,China,Guangxi,1600,3.0,2,0.0,,
2022-05-11,China,Guangxi,1605,5.0,2,0.0,,
2022-05-12,China,Guangxi,1607,2.0,2,0.0,,
2022-05-13,China,Guangxi,1609,2.0,2,0.0,,
2022-05-14,China,Guangxi,1610,1.0,2,0.0,,
2022-05-15,China,Guangxi,1610,0.0,2,0.0,,
2022-05-16,China,Guangxi,1610,0.0,2,0.0,,
2022-05-17,China,Guangxi,1611,1.0,2,0.0,,
2022-05-18,China,Guangxi,1611,0.0,2,0.0,,
2022-05-19,China,Guangxi,1613,2.0,2,0.0,,
2022-05-20,China,Guangxi,1615,2.0,2,0.0,,
2022-05-21,China,Guangxi,1617,2.0,2,0.0,,
2022-05-22,China,Guangxi,1617,0.0,2,0.0,,
2022-05-23,China,Guangxi,1619,2.0,2,0.0,,
2022-05-24,China,Guangxi,1621,2.0,2,0.0,,
2022-05-25,China,Guangxi,1622,1.0,2,0.0,,
2022-05-26,China,Guangxi,1622,0.0,2,0.0,,
2022-05-27,China,Guangxi,1626,4.0,2,0.0,,
2022-05-28,China,Guangxi,1627,1.0,2,0.0,,
2022-05-29,China,Guangxi,1629,2.0,2,0.0,,
2022-05-30,China,Guangxi,1632,3.0,2,0.0,,
2022-05-31,China,Guangxi,1634,2.0,2,0.0,,
2022-06-01,China,Guangxi,1634,0.0,2,0.0,,
