date,day,susceptible,infected,removed,beta_raw,gamma_raw,beta,gamma,reproduction_number
2020-04-14,83.0,4603.800000040894,3982.0,81587.0,0.024861878453038673,0.02837769964841788,0.024861878453038673,0.02837769964841788,0.8761061946902654
2020-04-15,84.0,4504.800000040894,3968.0,81700.0,0.026713709677419355,0.023185483870967742,0.026713709677419355,0.023185483870967742,1.1521739130434783
2020-04-16,85.0,4398.800000040894,3982.0,81792.0,0.1037167252636866,0.3252134605725766,0.1037167252636866,0.3252134605725766,0.31891891891891894
2020-04-17,86.0,3985.800000040894,3100.0,83087.0,0.022903225806451613,0.0003225806451612903,0.022903225806451613,0.0003225806451612903,71.0
2020-04-18,87.0,3914.800000040894,3170.0,83088.0,0.019873817034700314,0.0,0.019873817034700314,1e-06,19873.817034700314
2020-04-19,88.0,3851.800000040894,3233.0,83088.0,0.018867924528301886,0.0003093102381688834,0.018867924528301886,0.0003093102381688834,60.99999999999999
2020-04-20,89.0,3790.800000040894,3293.0,83089.0,0.021257212268448223,0.0009110233829334953,0.021257212268448223,0.0009110233829334953,23.333333333333332
2020-04-21,90.0,3720.800000040894,3360.0,83092.0,0.016666666666666666,0.00029761904761904765,0.016666666666666666,0.00029761904761904765,55.99999999999999
2020-04-22,91.0,3664.800000040894,3415.0,83093.0,0.01171303074670571,0.00029282576866764275,0.01171303074670571,0.00029282576866764275,40.0
2020-04-23,92.0,3624.800000040894,3454.0,83094.0,0.013317892298784018,0.00028951939779965256,0.013317892298784018,0.00028951939779965256,46.0
2020-04-24,93.0,3578.800000040894,3499.0,83095.0,0.010860245784509859,0.0002857959416976279,0.010860245784509859,0.0002857959416976279,37.99999999999999
2020-04-25,94.0,3540.800000040894,3536.0,83096.0,0.008201357466063349,0.0002828054298642534,0.008201357466063349,0.0002828054298642534,29.0
2020-04-26,95.0,3511.800000040894,3564.0,83097.0,0.008698092031425365,0.0,0.008698092031425365,1e-06,8698.092031425365
2020-04-27,96.0,3480.800000040894,3595.0,83097.0,0.017246175243393603,0.00611961057023644,0.017246175243393603,0.00611961057023644,2.8181818181818183
2020-04-28,97.0,3418.800000040894,3635.0,83119.0,0.00797799174690509,0.014305364511691884,0.00797799174690509,0.014305364511691884,0.5576923076923077
2020-04-29,98.0,3389.800000040894,3612.0,83171.0,0.012458471760797342,0.013565891472868217,0.012458471760797342,0.013565891472868217,0.9183673469387755
2020-04-30,99.0,3344.800000040894,3608.0,83220.0,0.006097560975609756,0.014135254988913526,0.006097560975609756,0.014135254988913526,0.43137254901960786
2020-05-01,100.0,3322.800000040894,3579.0,83271.0,0.0022352612461581448,0.0036322995250069852,0.0022352612461581448,0.0036322995250069852,0.6153846153846154
2020-05-02,101.0,3314.800000040894,3574.0,83284.0,0.0,0.027700055959709008,1e-06,0.027700055959709008,3.61010101010101e-05
2020-05-03,102.0,3314.800000040894,3475.0,83383.0,0.0,0.03107913669064748,1e-06,0.03107913669064748,3.217592592592593e-05
2020-05-04,103.0,3314.800000040894,3367.0,83491.0,0.0,0.023166023166023165,1e-06,0.023166023166023165,4.316666666666667e-05
2020-05-05,104.0,3314.800000040894,3289.0,83569.0,0.005776831863788386,0.01793858315597446,0.005776831863788386,0.01793858315597446,0.3220338983050848
2020-05-06,105.0,3295.800000040894,3249.0,83628.0,0.003385657125269314,0.015389350569405972,0.003385657125269314,0.015389350569405972,0.22
2020-05-07,106.0,3284.800000040894,3210.0,83678.0,0.00529595015576324,0.00529595015576324,0.00529595015576324,0.00529595015576324,1.0
2020-05-08,107.0,3267.800000040894,3210.0,83695.0,0.009034267912772585,0.041744548286604365,0.009034267912772585,0.041744548286604365,0.21641791044776118
2020-05-09,108.0,3238.800000040894,3105.0,83829.0,0.012560386473429951,0.01320450885668277,0.012560386473429951,0.01320450885668277,0.9512195121951219
2020-05-10,109.0,3199.800000040894,3103.0,83870.0,0.0022558814050918467,0.0103126007089913,0.0022558814050918467,0.0103126007089913,0.21875
2020-05-11,110.0,3192.800000040894,3078.0,83902.0,0.007147498375568551,0.007797270955165692,0.007147498375568551,0.007797270955165692,0.9166666666666666
2020-05-12,111.0,3170.800000040894,3076.0,83926.0,0.004551365409622887,0.007802340702210663,0.004551365409622887,0.007802340702210663,0.5833333333333333
2020-05-13,112.0,3156.800000040894,3066.0,83950.0,0.005218525766470972,0.004892367906066536,0.005218525766470972,0.004892367906066536,1.0666666666666667
2020-05-14,113.0,3140.800000040894,3067.0,83965.0,0.006521030322791001,0.006521030322791001,0.006521030322791001,0.006521030322791001,1.0
2020-05-15,114.0,3120.800000040894,3067.0,83985.0,0.0058689272905119005,0.004238669709814151,0.0058689272905119005,0.004238669709814151,1.3846153846153846
2020-05-16,115.0,3102.800000040894,3072.0,83998.0,0.007161458333333333,0.004231770833333333,0.007161458333333333,0.004231770833333333,1.6923076923076923
2020-05-17,116.0,3080.800000040894,3081.0,84011.0,0.008763388510223954,0.0012982797792924375,0.008763388510223954,0.0012982797792924375,6.750000000000001
2020-05-18,117.0,3053.800000040894,3104.0,84015.0,0.005154639175257732,0.00032216494845360824,0.005154639175257732,0.00032216494845360824,16.0
2020-05-19,118.0,3037.800000040894,3119.0,84016.0,0.005129849310676499,0.0,0.005129849310676499,1e-06,5129.849310676499
2020-05-20,119.0,3021.800000040894,3135.0,84016.0,0.012440191387559809,0.0,0.012440191387559809,1e-06,12440.19138755981
2020-05-21,120.0,2982.800000040894,3174.0,84016.0,0.014177693761814745,0.006931316950220542,0.014177693761814745,0.006931316950220542,2.0454545454545454
2020-05-22,121.0,2937.800000040894,3197.0,84038.0,0.009696590553644042,0.0009383797309978105,0.009696590553644042,0.0009383797309978105,10.333333333333334
2020-05-23,122.0,2906.800000040894,3225.0,84041.0,0.014573643410852714,0.00248062015503876,0.014573643410852714,0.00248062015503876,5.875
2020-05-24,123.0,2859.800000040894,3264.0,84049.0,0.014399509803921568,0.0027573529411764708,0.014399509803921568,0.0027573529411764708,5.222222222222221
2020-05-25,124.0,2812.800000040894,3302.0,84058.0,0.009085402786190187,0.0021199273167777106,0.009085402786190187,0.0021199273167777106,4.285714285714285
2020-05-26,125.0,2782.800000040894,3325.0,84065.0,0.009323308270676692,0.0030075187969924814,0.009323308270676692,0.0030075187969924814,3.0999999999999996
2020-05-27,126.0,2751.800000040894,3346.0,84075.0,0.006873879258816497,0.001195457262402869,0.006873879258816497,0.001195457262402869,5.75
2020-05-28,127.0,2728.800000040894,3365.0,84079.0,0.006537890044576523,0.0032689450222882616,0.006537890044576523,0.0032689450222882616,2.0
2020-05-29,128.0,2706.800000040894,3376.0,84090.0,0.002665876777251185,0.001184834123222749,0.002665876777251185,0.001184834123222749,2.25
2020-05-30,129.0,2697.800000040894,3381.0,84094.0,0.006211180124223602,0.0008873114463176575,0.006211180124223602,0.0008873114463176575,6.999999999999999
2020-05-31,130.0,2676.800000040894,3399.0,84097.0,0.00706090026478376,0.00264783759929391,0.00706090026478376,0.00264783759929391,2.6666666666666665
2020-06-01,131.0,2652.800000040894,3414.0,84106.0,0.004393673110720563,0.0005858230814294083,0.004393673110720563,0.0005858230814294083,7.500000000000001
2020-06-02,132.0,2637.800000040894,3427.0,84108.0,0.0008754012255617158,0.0011672016340822876,0.0008754012255617158,0.0011672016340822876,0.7500000000000001
2020-06-03,133.0,2634.800000040894,3426.0,84112.0,0.0043782837127845885,0.003210741389375365,0.0043782837127845885,0.003210741389375365,1.3636363636363635
2020-06-04,134.0,2619.800000040894,3430.0,84123.0,0.0023323615160349854,0.0014577259475218659,0.0023323615160349854,0.0014577259475218659,1.6
2020-06-05,135.0,2611.800000040894,3433.0,84128.0,0.003204194581998252,0.0011651616661811825,0.003204194581998252,0.0011651616661811825,2.75
2020-06-06,136.0,2600.800000040894,3440.0,84132.0,0.002616279069767442,0.0029069767441860465,0.002616279069767442,0.0029069767441860465,0.9
2020-06-07,137.0,2591.800000040894,3439.0,84142.0,0.0017446932247746438,0.002907822041291073,0.0017446932247746438,0.002907822041291073,0.6
2020-06-08,138.0,2585.800000040894,3435.0,84152.0,0.006695778748180495,0.0020378457059679767,0.006695778748180495,0.0020378457059679767,3.285714285714286
2020-06-09,139.0,2562.800000040894,3451.0,84159.0,0.004636337293538105,0.0014488554042306578,0.004636337293538105,0.0014488554042306578,3.2
2020-06-10,140.0,2546.800000040894,3462.0,84164.0,0.0028885037550548816,0.002310803004043905,0.0028885037550548816,0.002310803004043905,1.25
2020-06-11,141.0,2536.800000040894,3464.0,84172.0,0.003464203233256351,0.0023094688221709007,0.003464203233256351,0.0023094688221709007,1.5
2020-06-12,142.0,2524.800000040894,3468.0,84180.0,0.018742791234140715,0.0008650519031141869,0.018742791234140715,0.0008650519031141869,21.666666666666668
2020-06-13,143.0,2459.800000040894,3530.0,84183.0,0.01586402266288952,0.00198300283286119,0.01586402266288952,0.00198300283286119,8.0
2020-06-14,144.0,2403.800000040894,3579.0,84190.0,0.017043867001955853,0.0019558535903883767,0.017043867001955853,0.0019558535903883767,8.714285714285714
2020-06-15,145.0,2342.800000040894,3633.0,84197.0,0.013762730525736306,0.0011010184420589045,0.013762730525736306,0.0011010184420589045,12.5
